graphics_name,solution,topic,id,question,choice1,choice2,choice3,choice4
p5g5m,p5g5m,1405,,1,1,1,1,1
e72cd,e72cd,1405,,1,1,1,1,1
pgmn2,pgmn2,1405,,1,1,1,1,1
6cm6m,6cm6m,1405,,1,1,1,1,1
68wfd,68wfd,1405,,1,1,1,1,1
byc82,byc82,1405,,1,1,1,1,1
gcx6f,gcx6f,1405,,1,1,1,1,1
d8dce,d8dce,1405,,1,1,1,1,1
gd4mf,gd4mf,1405,,1,1,1,1,1
fy2nd,fy2nd,1405,,1,1,1,1,1
37ep6,37ep6,1405,,1,1,1,1,1
4nnf3,4nnf3,1405,,1,1,1,1,1
ygenn,ygenn,1405,,1,1,1,1,1
c4527,c4527,1405,,1,1,1,1,1
x37bf,x37bf,1405,,1,1,1,1,1
mx8bb,mx8bb,1405,,1,1,1,1,1
ncfgb,ncfgb,1405,,1,1,1,1,1
ewnx8,ewnx8,1405,,1,1,1,1,1
2nx38,2nx38,1405,,1,1,1,1,1
wmpmp,wmpmp,1405,,1,1,1,1,1
pyf65,pyf65,1405,,1,1,1,1,1
nxxf8,nxxf8,1405,,1,1,1,1,1
ny5dp,ny5dp,1405,,1,1,1,1,1
cfp86,cfp86,1405,,1,1,1,1,1
2xc2n,2xc2n,1405,,1,1,1,1,1
378e5,378e5,1405,,1,1,1,1,1
d22y5,d22y5,1405,,1,1,1,1,1
w4nfx,w4nfx,1405,,1,1,1,1,1
7mgmf,7mgmf,1405,,1,1,1,1,1
25p2m,25p2m,1405,,1,1,1,1,1
nbwnn,nbwnn,1405,,1,1,1,1,1
egxmp,egxmp,1405,,1,1,1,1,1
56ncx,56ncx,1405,,1,1,1,1,1
gnbn4,gnbn4,1405,,1,1,1,1,1
gw468,gw468,1405,,1,1,1,1,1
n8ydd,n8ydd,1405,,1,1,1,1,1
n7meb,n7meb,1405,,1,1,1,1,1
36w25,36w25,1405,,1,1,1,1,1
nnf8b,nnf8b,1405,,1,1,1,1,1
cewnm,cewnm,1405,,1,1,1,1,1
g2fnw,g2fnw,1405,,1,1,1,1,1
excmn,excmn,1405,,1,1,1,1,1
c6we6,c6we6,1405,,1,1,1,1,1
mmg2m,mmg2m,1405,,1,1,1,1,1
7nnnx,7nnnx,1405,,1,1,1,1,1
55y2m,55y2m,1405,,1,1,1,1,1
5ywwf,5ywwf,1405,,1,1,1,1,1
w75w8,w75w8,1405,,1,1,1,1,1
5nm6d,5nm6d,1405,,1,1,1,1,1
cwgyx,cwgyx,1405,,1,1,1,1,1
wxy4n,wxy4n,1405,,1,1,1,1,1
8gmnx,8gmnx,1405,,1,1,1,1,1
7fmcy,7fmcy,1405,,1,1,1,1,1
cc845,cc845,1405,,1,1,1,1,1
77387,77387,1405,,1,1,1,1,1
22d5n,22d5n,1405,,1,1,1,1,1
ny3dw,ny3dw,1405,,1,1,1,1,1
wye85,wye85,1405,,1,1,1,1,1
6825y,6825y,1405,,1,1,1,1,1
43gey,43gey,1405,,1,1,1,1,1
fg38b,fg38b,1405,,1,1,1,1,1
2gyb6,2gyb6,1405,,1,1,1,1,1
efx34,efx34,1405,,1,1,1,1,1
